co_area_compl_pedagogica_1,co_area_compl_pedagogica_2,co_area_compl_pedagogica_3,co_area_curso_1,co_area_curso_2,co_area_curso_3,co_curso_1,co_curso_2,co_curso_3,co_ies_1,co_ies_2,co_ies_3,co_municipio_end,co_uf_end,id_docente,in_disc_artes,in_disc_biologia,in_disc_educacao_fisica,in_disc_ensino_religioso,in_disc_est_sociais_sociologia,in_disc_estagio_supervisionado,in_disc_estudos_sociais,in_disc_filosofia,in_disc_fisica,in_disc_geografia,in_disc_historia,in_disc_informatica_computacao,in_disc_lingua_outra,in_disc_lingua_ingles,in_disc_libras,in_disc_lingua_espanhol,in_disc_lingua_frances,in_disc_lingua_indigena,in_disc_lingua_portuguesa,in_disc_outras,in_disc_port_segunda_lingua,in_disc_profissionalizante,in_disc_pedagogicas,in_disc_matematica,in_disc_quimica,in_disc_sociologia,in_doutorado,in_eja,in_especializacao,in_especial_exclusiva,in_mestrado,in_pos_nenhum,in_profissionalizante,in_regular,in_superdotacao,in_surdez,in_surdocegueira,nu_ano_conclusao_3,nu_ano_conclusao_2,nu_ano_conclusao_1,tp_ensino_medio,tp_etapa_ensino,tp_local_resid_diferenciada,tp_situacao_curso_3,tp_situacao_curso_2,tp_situacao_curso_1,tp_tipo_contratacao,tp_tipo_ies_1,tp_tipo_ies_2,tp_tipo_ies_3
NA,NA,NA,1,1,NA,145F14,145F17,NA,519,578,NA,2927408,29,117625875481,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,1995,1979,NA,10,NA,NA,1,1,1,2,1,NA
NA,NA,NA,1,1,NA,145F14,145F17,NA,519,578,NA,2927408,29,117625875481,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,1995,1979,NA,11,NA,NA,1,1,1,2,1,NA
NA,NA,NA,1,1,NA,145F14,145F17,NA,519,578,NA,2927408,29,117625875481,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,1995,1979,NA,25,NA,NA,1,1,1,2,1,NA
NA,NA,NA,1,1,NA,145F14,145F17,NA,519,578,NA,2927408,29,117625875481,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,1995,1979,NA,26,NA,NA,1,1,1,2,1,NA
NA,NA,NA,1,1,NA,145F14,145F17,NA,519,578,NA,2927408,29,117625875481,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,1995,1979,NA,27,NA,NA,1,1,1,2,1,NA
NA,NA,NA,1,3,NA,145F18,344C02,NA,585,1363,NA,2927408,29,1006A863DBCB59549337398F7245AA65,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1987,2003,3,20,NA,NA,1,1,1,1,2,NA
NA,NA,NA,1,3,NA,145F18,344C02,NA,585,1363,NA,2927408,29,1006A863DBCB59549337398F7245AA65,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1987,2003,3,19,NA,NA,1,1,1,1,2,NA
NA,NA,NA,1,3,NA,145F18,344C02,NA,585,1363,NA,2927408,29,120287011703,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1987,2003,3,10,NA,NA,1,1,1,1,2,NA
NA,NA,NA,1,3,NA,145F18,344C02,NA,585,1363,NA,2927408,29,120287011703,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1987,2003,3,20,NA,NA,1,1,1,1,2,NA
NA,NA,NA,1,3,NA,145F18,344C02,NA,585,1363,NA,2927408,29,120287011703,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1987,2003,3,9,NA,NA,1,1,1,1,2,NA
